"Participant","Block","Condition","ConditionName","Task","Time","Distance","XDiff","YDiff","ZDiff"
"2","2",4,"Haptics","6",2792.01,20.4717,0.2749,1.9213,20.38
"2","2",4,"Haptics","7",7414.45,41.104,3.79035,0.990299999999998,40.917
"2","2",4,"Haptics","8",6157.55,45.0938,2.1704,1.6456,45.011
"2","2",4,"Haptics","9",2418.78,39.0339,3.2097,7.13563,38.242
"2","2",4,"Haptics","10",3408.05,39.4585,7.02605,1.39982,38.802
"2","2",4,"Haptics","11",5410.91,19.4886,-0.987300000000005,1.1607,-19.429
"2","2",4,"Haptics","12",6763.57,47.7051,0.0870999999999995,-2.3039,-47.649
"2","2",4,"Haptics","13",7812.81,32.9243,-1.3448,4.5019,32.587
"2","2",4,"Haptics","14",5285.52,13.7267,-2.34742,2.6671,13.259
"2","2",4,"Haptics","15",4570.29,38.3362,4.2387,0.751200000000001,38.094
"2","2",4,"Haptics","16",6139.5,62.7545,2.1505,-2.55,62.665
"2","2",4,"Haptics","17",4066.77,27.9731,4.1522,-7.04,26.753
"2","2",4,"Haptics","18",4630.83,14.641,-2.136484,-4.1762,13.869
"2","2",4,"Haptics","19",3589.85,7.42932,3.6672,-6.1126,2.09299999999999
"2","2",4,"Haptics","20",3936.6,0.813644,-0.649700000000003,-0.4664,-0.150000000000006
"2","3",2,"Haptics+Lights","1",2853.08,17.5389,-0.536100000000005,-6.3937,16.323
"2","3",2,"Haptics+Lights","2",2671.08,21.2114,4.44086,-3.38823,20.463
"2","3",2,"Haptics+Lights","3",5984.26,14.5126,-2.85720000000001,-6.7922,12.503
"2","3",2,"Haptics+Lights","4",2774.59,19.4728,5.85,3.47457,-18.245
"2","3",2,"Haptics+Lights","5",1647.91,2.55208,1.9633,1.4544,-0.736999999999995
"2","3",2,"Haptics+Lights","6",2271.6,18.4861,3.71488,-8.3479,-16.07
"2","3",2,"Haptics+Lights","7",2385.31,27.3367,6.86355,-7.125,25.484
"2","3",2,"Haptics+Lights","8",3069.96,16.666,10.13529,-3.30677,-12.81
"2","3",2,"Haptics+Lights","9",1882.18,25.4112,6.1663,-2.23718,24.55
"2","3",2,"Haptics+Lights","10",2843.61,5.517,-4.0671,2.36596,2.88
"2","3",2,"Haptics+Lights","11",2263.33,13.9051,5.3488,-0.681799999999999,-12.817
"2","3",2,"Haptics+Lights","12",3868.03,39.3166,8.1908,-1.1981,38.435
"2","3",2,"Haptics+Lights","13",2202.27,7.94186,-0.8527,-5.1796,-5.96000000000001
"2","3",2,"Haptics+Lights","14",7059.75,43.2189,-2.25259,-9.0022,42.211
"2","3",2,"Haptics+Lights","15",2245.87,10.7878,1.3318,-1.7131,10.567
"2","3",2,"Haptics+Lights","16",4509.74,10.9322,7.4446,-1.0917,-7.93100000000001
